288, Heading, 349242.7185, 105.6878, 129.2185
289, Heading, 349242.7700, 106.6878, 130.2185
290, Gyroscope, 349242.7417, -0.053605, -0.219550, 0.026738
291, Accelerometer, 349242.7417, 0.030163, -0.011689, 0.001318
292, Gravity, 349242.7417, -0.023770, -0.997756, -0.062597
293, Motion, 349242.7417
294, Frame, 349242.7109, 25
295, Gyroscope, 349242.8044, -0.112567, -0.212031, 0.022493
296, Accelerometer, 349242.8044, -0.005542, 0.011376, 0.017695
297, Gravity, 349242.8044, -0.026120, -0.997475, -0.066034
298, Motion, 349242.8044
299, Heading, 349242.8471, 107.6878, 131.2185
300, Gyroscope, 349242.8672, 0.017516, -0.107176, 0.019660
301, Accelerometer, 349242.8672, 0.016758, -0.001720, 0.026777
302, Gravity, 349242.8672, -0.026005, -0.997486, -0.065916
303, Motion, 349242.8672
304, Heading, 349242.9253, 108.6878, 132.2185
305, Frame, 349242.8777, 26
306, Gyroscope, 349242.9299, -0.064129, -0.156516, -0.007990
307, Accelerometer, 349242.9299, -0.016429, 0.006330, -0.024963
308, Gravity, 349242.9299, -0.027257, -0.997236, -0.069122
309, Motion, 349242.9299
310, Heading, 349243.0284, 109.6878, 133.2185
311, Gyroscope, 349242.9927, 0.053847, -0.146944, -0.006495
312, Accelerometer, 349242.9927, -0.005778, -0.026906, -0.022391
313, Gravity, 349242.9927, -0.027486, -0.997264, -0.068628
314, Motion, 349242.9927
315, Gyroscope, 349243.0554, -0.014711, -0.173811, -0.040739
316, Accelerometer, 349243.0554, -0.016324, 0.007152, 0.010212
317, Gravity, 349243.0554, -0.028094, -0.997219, -0.069035
318, Motion, 349243.0554
319, Frame, 349243.0444, 27
320, Gyroscope, 349243.1182, -0.000693, -0.156156, -0.092995
321, Accelerometer, 349243.1182, -0.004819, -0.016190, 0.008222
322, Gravity, 349243.1182, -0.025760, -0.997482, -0.066084
323, Motion, 349243.1182
324, Heading, 349243.1836, 110.6878, 134.2185
325, Gyroscope, 349243.1809, 0.010260, -0.157906, -0.001690
326, Accelerometer, 349243.1809, -0.001904, 0.001128, -0.011506
327, Gravity, 349243.1809, -0.025287, -0.997436, -0.066955
328, Motion, 349243.1809
329, Frame, 349243.1779, 28
330, Gyroscope, 349243.2437, -0.013363, -0.170594, 0.001461
331, Accelerometer, 349243.2437, -0.001043, 0.002079, -0.007379
332, Gravity, 349243.2437, -0.025965, -0.997455, -0.066398
333, Motion, 349243.2437
334, Heading, 349243.3123, 111.6878, 135.2185
335, Gyroscope, 349243.3064, 0.020858, -0.178918, 0.012867
336, Accelerometer, 349243.3064, 0.014363, -0.011182, -0.022749
337, Gravity, 349243.3064, -0.025243, -0.997546, -0.065310
338, Motion, 349243.3064
339, Heading, 349243.3638, 112.6878, 136.2185
340, Location, 349243.3951, -43.521651, 172.582468, 14.8322, 10.0000, 12.0000
341, Gyroscope, 349243.3692, 0.003272, -0.127265, -0.005171
342, Accelerometer, 349243.3692, -0.001072, 0.006395, 0.019171
343, Gravity, 349243.3692, -0.025494, -0.997606, -0.064291
344, Motion, 349243.3692
345, Frame, 349243.3446, 29
346, Gyroscope, 349243.4319, -0.054630, -0.147062, -0.018840
347, Accelerometer, 349243.4319, 0.003760, -0.002968, 0.018415
348, Gravity, 349243.4319, -0.024665, -0.997643, -0.064038
349, Motion, 349243.4319
350, Heading, 349243.4940, 113.6878, 137.2185
351, Gyroscope, 349243.4947, -0.007285, -0.111838, -0.004844
352, Accelerometer, 349243.4947, -0.003768, -0.002341, 0.006765
353, Gravity, 349243.4947, -0.024461, -0.997583, -0.065039
354, Motion, 349243.4947
355, Frame, 349243.4780, 30
356, Gyroscope, 349243.5574, -0.012257, -0.153697, -0.036185
357, Accelerometer, 349243.5574, -0.000763, -0.019301, -0.028993
358, Gravity, 349243.5574, -0.023529, -0.997453, -0.067336
359, Motion, 349243.5574
360, Heading, 349243.6227, 114.6878, 138.2185
361, Gyroscope, 349243.6202, -0.013325, -0.156577, -0.004875
362, Accelerometer, 349243.6202, 0.005583, -0.003049, 0.004953
363, Gravity, 349243.6202, -0.023756, -0.997562, -0.065622
364, Motion, 349243.6202
365, Frame, 349243.6448, 31
366, Gyroscope, 349243.6829, 0.016137, -0.160457, -0.008597
367, Accelerometer, 349243.6829, 0.010273, -0.014084, -0.002779
368, Gravity, 349243.6829, -0.021946, -0.997558, -0.066298
369, Motion, 349243.6829
370, Heading, 349243.7262, 115.6878, 139.2185
371, Gyroscope, 349243.7457, -0.034505, -0.130708, -0.017285
372, Accelerometer, 349243.7457, -0.004985, 0.002149, 0.022130
373, Gravity, 349243.7457, -0.022237, -0.997617, -0.065312
374, Motion, 349243.7457
375, Gyroscope, 349243.8084, -0.008706, -0.150258, -0.039385
376, Accelerometer, 349243.8084, 0.015303, -0.010162, -0.026476
377, Gravity, 349243.8084, -0.020430, -0.997497, -0.067686
378, Motion, 349243.8084
379, Frame, 349243.7782, 32
380, Heading, 349243.8601, 116.6878, 140.2185
381, Gyroscope, 349243.8712, 0.042022, -0.145982, -0.038394
382, Accelerometer, 349243.8712, -0.003814, -0.012003, -0.009733
383, Gravity, 349243.8712, -0.020280, -0.997442, -0.068545
384, Motion, 349243.8712
385, Heading, 349243.9331, 117.6878, 141.2185
386, Gyroscope, 349243.9339, -0.021768, -0.224702, 0.003202
387, Accelerometer, 349243.9339, 0.026305, -0.006079, -0.012464
388, Gravity, 349243.9339, -0.018462, -0.997629, -0.066302
389, Motion, 349243.9339
390, Frame, 349243.9116, 33
391, Gyroscope, 349243.9967, 0.009124, -0.215685, 0.053790
392, Accelerometer, 349243.9967, 0.019736, -0.007044, 0.002443
393, Gravity, 349243.9967, -0.019400, -0.997763, -0.063982
394, Motion, 349243.9967
395, Heading, 349244.0622, 118.6878, 142.2185
396, Gyroscope, 349244.0594, -0.052248, -0.212107, 0.015442
397, Accelerometer, 349244.0594, 0.036471, -0.015562, -0.006326
398, Gravity, 349244.0594, -0.019915, -0.997637, -0.065756
399, Motion, 349244.0594
400, Frame, 349244.0783, 34
401, Gyroscope, 349244.1222, -0.084064, -0.217454, 0.027950
402, Accelerometer, 349244.1222, -0.015689, 0.016581, -0.022709
403, Gravity, 349244.1222, -0.020078, -0.997462, -0.068310
404, Motion, 349244.1222
405, Heading, 349244.1655, 119.6878, 143.2185
406, Heading, 349244.2180, 120.6878, 144.2185
407, Gyroscope, 349244.1849, -0.066625, -0.264122, 0.001904
408, Accelerometer, 349244.1849, 0.020782, -0.024862, 0.011308
409, Gravity, 349244.1849, -0.021316, -0.997034, -0.073946
410, Motion, 349244.1849
411, Frame, 349244.2117, 35
412, Gyroscope, 349244.2477, -0.020250, -0.121250, -0.023324
413, Accelerometer, 349244.2477, 0.035600, -0.000533, -0.007958
414, Gravity, 349244.2477, -0.019731, -0.996904, -0.076118
415, Motion, 349244.2477
416, Heading, 349244.3210, 121.6878, 145.2185
417, Gyroscope, 349244.3104, -0.060795, -0.215937, -0.059726
418, Accelerometer, 349244.3104, 0.038350, -0.016331, -0.003284
419, Gravity, 349244.3104, -0.016942, -0.996700, -0.079388
420, Motion, 349244.3104
421, Heading, 349244.3729, 122.6878, 146.2185
422, Location, 349244.3957, -43.521651, 172.582468, 21.0304, 10.0000, 12.0000
423, Gyroscope, 349244.3732, 0.026644, -0.189208, -0.039931
424, Accelerometer, 349244.3732, -0.000066, -0.013352, -0.018226
425, Gravity, 349244.3732, -0.014079, -0.996719, -0.079705
426, Motion, 349244.3732
427, Frame, 349244.3785, 36
428, Heading, 349244.4511, 127.6878, 151.2185
429, Gyroscope, 349244.4359, -0.023977, -0.187103, -0.017291
430, Accelerometer, 349244.4359, 0.017469, -0.026091, 0.001792
431, Gravity, 349244.4359, -0.011914, -0.996827, -0.078696
432, Motion, 349244.4359
433, Heading, 349244.4757, 131.6878, 155.2185
434, Heading, 349244.5034, 134.6878, 158.2185
435, Heading, 349244.5318, 137.6878, 161.2185
436, Gyroscope, 349244.4987, 0.029067, -0.250246, 0.030710
437, Accelerometer, 349244.4987, 0.022429, -0.038942, -0.010699
438, Gravity, 349244.4987, -0.011748, -0.996642, -0.081037
439, Motion, 349244.4987
440, Heading, 349244.5535, 139.6878, 163.2185
441, Frame, 349244.5119, 37
442, Heading, 349244.5795, 141.6878, 165.2185
443, Gyroscope, 349244.5614, 0.015748, -0.314528, -0.005517
444, Accelerometer, 349244.5614, -0.038630, -0.009422, 0.000016
445, Gravity, 349244.5614, -0.015615, -0.996773, -0.078737
446, Motion, 349244.5614
447, Heading, 349244.6044, 143.6878, 167.2185
448, Heading, 349244.6301, 144.6878, 168.2185
449, Heading, 349244.6563, 145.6878, 169.2185
450, Gyroscope, 349244.6242, 0.120933, -0.156828, -0.086084
451, Accelerometer, 349244.6242, 0.001082, 0.025307, 0.022879
452, Gravity, 349244.6242, -0.013380, -0.997079, -0.075202
453, Motion, 349244.6242
454, Heading, 349244.6808, 146.6878, 170.2185
455, Frame, 349244.6453, 38
456, Heading, 349244.7071, 147.6878, 171.2185
457, Gyroscope, 349244.6869, 0.002722, -0.276494, -0.053187
458, Accelerometer, 349244.6869, 0.020877, 0.009308, 0.034669
459, Gravity, 349244.6869, -0.009570, -0.997315, -0.072602
460, Motion, 349244.6869
461, Heading, 349244.7418, 148.6878, 172.2185
462, Heading, 349244.7598, 149.6878, 173.2185
463, Gyroscope, 349244.7497, -0.039814, -0.388885, 0.022616
464, Accelerometer, 349244.7497, 0.020561, -0.003167, 0.017526
465, Gravity, 349244.7497, -0.010094, -0.997367, -0.071817
466, Motion, 349244.7497
467, Heading, 349244.7861, 150.6878, 174.2185
468, Heading, 349244.8103, 151.6878, 175.2185
469, Heading, 349244.8377, 152.6878, 176.2185
470, Gyroscope, 349244.8124, -0.017020, -0.227276, -0.018947
471, Accelerometer, 349244.8124, 0.010179, 0.019675, 0.033216
472, Gravity, 349244.8124, -0.011964, -0.997428, -0.070676
473, Motion, 349244.8124
474, Frame, 349244.7787, 39
475, Heading, 349244.9152, 153.6878, 177.2185
476, Gyroscope, 349244.8752, -0.085451, -0.269716, 0.007878
477, Accelerometer, 349244.8752, 0.020415, -0.010003, 0.027546
478, Gravity, 349244.8752, -0.011336, -0.997428, -0.070774
479, Motion, 349244.8752
480, Heading, 349244.9673, 154.6878, 178.2185
481, Gyroscope, 349244.9379, -0.053352, -0.186446, 0.001418
482, Accelerometer, 349244.9379, -0.000059, -0.016317, -0.017728
483, Gravity, 349244.9379, -0.012377, -0.997141, -0.074542
484, Motion, 349244.9379
485, Frame, 349244.9121, 40
486, Gyroscope, 349245.0007, -0.066495, -0.194211, -0.037942
487, Accelerometer, 349245.0007, -0.006972, -0.000923, 0.017780
488, Gravity, 349245.0007, -0.012681, -0.997047, -0.075733
489, Motion, 349245.0007
490, Heading, 349245.0432, 155.6878, 179.2185
491, Gyroscope, 349245.0634, 0.051686, -0.188481, -0.005121
492, Accelerometer, 349245.0634, 0.007128, -0.000037, -0.020562
493, Gravity, 349245.0634, -0.011477, -0.996927, -0.077491
494, Motion, 349245.0634
495, Frame, 349245.0455, 41
496, Heading, 349245.1233, 156.6878, 180.2185
497, Gyroscope, 349245.1262, -0.061720, -0.183812, -0.057071
498, Accelerometer, 349245.1262, -0.000904, 0.001157, 0.011374
499, Gravity, 349245.1262, -0.010846, -0.996884, -0.078131
500, Motion, 349245.1262
